;NumFeatures;HasExternalRiskEstimate;SpecialValues
3752;16;1;0
3797;17;1;2
2549;16;1;2
5696;15;1;1
8610;17;1;0
3477;15;1;1
4197;17;1;1
8406;17;1;0
3554;16;1;1
2905;19;1;0
2760;14;1;3
9134;14;1;3
7519;15;1;1
9553;16;1;1
3429;17;1;0
7674;16;1;2
999;18;1;1
4586;18;1;3
2444;15;1;3
3957;16;1;2
4929;14;1;0
7762;15;1;4
8647;17;1;0
590;17;1;2
6627;16;1;2
8005;17;1;0
9527;18;1;2
2103;15;1;1
9115;16;1;2
8753;15;1;1
8448;16;1;2
9456;14;1;1
697;12;1;2
1680;16;1;1
5267;14;1;0
8204;15;1;1
6864;17;1;2
1574;12;1;2
6096;18;1;1
3111;15;1;1
789;18;1;1
7992;15;1;1
1758;14;1;1
3678;19;1;1
36;17;1;0
2933;17;1;3
6718;18;1;2
5775;12;1;2
8257;17;1;1
8632;16;1;0
5734;15;1;0
7827;17;1;2
600;14;1;1
5246;16;1;0
9390;15;1;3
4201;13;1;0
5936;17;1;1
3461;16;1;1
1931;16;1;1
8132;16;1;0
1837;13;1;0
6437;16;1;0
3460;15;1;3
2603;18;1;2
9628;18;1;0
3599;17;1;1
4381;13;1;1
10415;15;1;1
8792;17;1;1
47;14;1;1
6972;18;1;1
9650;16;1;0
7977;14;1;3
2641;18;1;1
1666;17;1;1
2875;17;1;1
7415;17;1;0
3532;14;1;3
3109;17;1;1
4874;14;1;0
9621;16;1;2
5754;15;1;1
9709;18;1;1
6039;19;1;0
7798;18;1;1
2244;14;1;2
2069;14;1;5
8083;13;1;4
2492;15;1;2
1643;13;1;1
8462;15;1;6
785;17;1;1
5315;11;1;1
5589;14;1;0
6613;15;1;3
9161;13;1;2
6124;16;1;1
2270;17;1;2
2778;18;1;3
5288;16;1;1
3162;14;1;2
4313;14;1;2
9346;15;1;1
4912;15;1;2
4338;15;1;1
3984;18;1;2
6236;17;1;0
9611;18;1;2
7943;11;1;2
3971;16;1;2
3806;15;1;1
9010;13;1;1
9370;14;1;0
609;18;1;3
5240;14;1;0
2690;16;1;1
4485;18;1;1
358;18;1;0
6847;15;1;2
6083;14;1;0
9291;15;1;0
2630;17;1;2
3578;12;1;3
1495;17;1;2
23;14;1;0
3173;15;1;1
5055;15;1;0
5294;14;1;0
404;19;1;2
5440;15;1;2
2893;16;1;1
8983;15;1;0
5732;19;1;1
10123;17;1;3
3857;17;1;1
6833;15;1;1
8813;16;1;0
9580;18;1;1
9438;17;1;2
6590;17;1;1
6394;15;1;1
10452;17;1;1
6698;17;1;1
5495;15;1;1
5484;14;1;0
1812;14;1;1
7484;17;1;1
9584;16;1;1
4715;15;1;1
6194;14;1;0
1832;16;1;1
5220;16;1;0
2102;16;1;1
5717;15;1;0
5079;18;1;1
10165;16;1;2
5983;19;1;1
4809;15;1;1
818;16;1;2
3490;16;1;1
6610;16;1;1
3105;13;1;1
5488;16;1;1
6406;15;1;0
5064;14;1;0
8740;14;1;0
7586;16;1;2
4362;15;1;2
7986;18;1;1
5192;16;1;0
3474;15;1;5
9234;14;1;1
1977;15;1;1
788;15;1;0
309;12;1;3
2487;17;1;3
3621;14;1;0
9259;18;1;1
10342;17;1;1
2569;18;1;2
7711;14;1;3
1962;16;1;1
10277;15;1;0
586;14;1;3
314;17;1;0
9442;14;1;0
8119;18;1;2
6873;16;1;0
190;16;1;2
290;17;1;1
1664;16;1;1
6863;16;1;1
1602;13;1;0
338;15;1;1
2400;19;1;2
7253;14;1;1
2962;15;1;0
268;15;1;1
8327;12;1;1
9126;16;1;3
1987;13;1;2
50;16;1;2
4923;14;1;3
8350;15;1;2
2671;14;1;2
5162;18;1;3
10431;16;1;1
9557;12;1;1
6145;16;1;1
8049;17;1;2
6818;16;1;0
9129;15;1;2
271;15;1;1
4524;15;1;2
8272;17;1;3
8479;15;1;3
9912;12;1;0
6884;19;1;1
2755;14;1;2
2027;17;1;1
7769;15;1;1
3332;14;1;0
6940;14;1;1
6579;18;1;1
8492;15;1;2
7873;17;1;1
10250;14;1;3
470;16;1;0
8031;15;1;2
7789;15;1;3
1062;15;1;0
9622;16;1;2
3247;17;1;0
707;12;1;0
7675;16;1;2
994;13;1;3
5076;17;1;2
5865;15;1;1
8256;15;1;0
3824;14;1;3
2936;17;1;1
341;13;1;0
3884;16;1;1
7683;15;1;2
9271;14;1;1
9006;14;1;2
399;17;1;1
433;15;1;0
5758;15;1;1
4788;14;1;2
4211;18;1;1
5080;18;1;2
5130;16;1;0
2036;12;1;2
2222;17;1;1
7096;14;1;1
6712;15;1;1
7791;14;1;2
10317;17;1;1
2042;13;1;0
5985;18;1;0
6188;14;1;3
297;14;1;2
2782;16;1;1
8738;19;1;3
7455;12;1;0
6147;14;1;0
5370;17;1;2
7316;15;1;0
3368;14;1;0
8529;17;1;2
4421;13;1;1
3862;18;1;0
3504;14;1;2
6526;15;1;1
7580;16;1;3
2150;14;1;1
8009;16;1;0
6978;15;1;2
1749;18;1;1
5092;14;1;0
6369;13;1;2
10069;18;1;1
5059;17;1;1
5849;17;1;1
3445;15;1;1
5208;14;1;1
1788;13;1;0
5270;12;1;1
9607;18;1;1
6413;11;1;3
2680;18;1;2
4196;13;1;0
5054;14;1;1
536;17;1;3
10225;19;1;2
7955;17;1;2
2764;17;1;3
3537;19;1;0
3480;15;1;1
4831;18;1;1
1865;14;1;0
10419;18;1;1
497;17;1;1
6701;18;1;1
8276;17;1;2
8567;18;1;1
9223;14;1;1
7216;14;1;2
4570;16;1;2
7828;18;1;0
2145;14;1;2
8810;18;1;1
4157;17;1;0
2296;18;1;3
8788;17;1;1
8775;15;1;2
3239;16;1;1
2724;16;1;2
9060;17;1;0
10410;18;1;2
9314;15;1;3
2025;16;1;1
5355;14;1;2
4363;16;1;1
4821;17;1;2
10304;17;1;1
6229;14;1;2
8357;15;1;1
5207;14;1;1
647;14;1;1
4375;14;1;2
3969;17;1;2
5228;14;1;1
2160;16;1;0
2943;17;1;1
8097;16;1;1
7754;15;1;2
692;15;1;1
7299;11;1;0
8284;16;1;1
3570;13;1;2
605;17;1;2
9744;16;1;1
5266;17;1;0
9522;12;1;2
1920;12;1;0
2529;17;1;3
3724;17;1;1
81;18;1;0
9089;17;1;2
8332;14;1;2
8140;18;1;2
10055;14;1;1
5966;14;1;3
615;15;1;1
8535;14;1;1
4402;16;1;2
3827;14;1;1
5412;18;1;1
729;16;1;1
2132;16;1;1
2674;18;1;3
5899;16;1;1
2045;16;1;2
9839;17;1;1
4577;18;1;1
2320;17;1;2
8391;15;1;2
9068;15;1;0
2184;16;1;2
8348;14;1;1
940;14;1;0
4282;15;1;0
7702;16;1;1
2826;19;1;0
2577;12;1;2
7646;18;1;2
6439;17;1;0
2214;15;1;1
9367;14;1;0
6058;17;1;1
6324;15;1;0
5684;12;1;4
5980;14;1;1
617;16;1;2
8267;17;1;1
2194;16;1;1
8584;17;1;1
9651;13;1;0
4965;15;1;1
6117;17;1;1
2665;14;1;3
4431;15;1;1
4793;17;1;1
10316;14;1;3
10;14;1;1
10192;16;1;0
7979;14;1;3
6205;15;1;3
8259;18;1;2
99;17;1;2
1737;15;1;1
2894;15;1;1
7373;18;1;1
2534;17;1;2
6926;12;1;0
8324;18;1;2
9077;18;1;2
10019;16;1;2
5452;18;1;1
315;18;1;0
8197;13;1;0
2518;15;1;2
4789;15;1;3
8057;18;1;1
5919;19;1;3
7187;15;1;0
2565;19;1;2
7835;13;1;0
3309;12;1;1
1497;12;1;0
10414;14;1;2
1594;15;1;2
9404;17;1;2
9617;17;1;1
2334;16;1;2
9042;15;1;0
8268;16;1;2
4682;16;1;0
1530;15;1;0
2299;18;1;2
4866;17;1;1
7912;16;1;1
