;NumFeatures;HasExternalRiskEstimate;SpecialValues
3557;2;0;0
110;4;0;1
3752;2;0;0
3797;3;0;0
2549;3;0;0
5696;2;0;0
8610;4;0;0
3477;4;0;0
4197;4;0;0
8406;3;0;0
3554;2;0;0
2905;4;0;0
2760;3;0;0
9134;4;0;0
7519;3;0;0
9553;4;0;0
3429;4;0;0
7674;4;0;0
999;3;0;0
4586;4;0;0
2444;4;0;0
3957;3;0;0
4929;2;0;0
7762;1;0;0
8647;1;0;0
590;4;0;0
6627;3;0;0
8005;4;0;0
9527;4;0;0
2103;3;0;0
9115;4;0;0
8753;3;0;0
8448;1;0;0
9456;2;0;0
697;2;0;0
1680;4;0;0
5267;4;0;0
8204;1;0;0
6864;2;0;0
1574;4;0;0
6096;4;0;0
3111;2;0;0
789;2;0;0
7992;4;0;0
1758;3;0;0
3678;5;0;0
36;4;0;0
2933;5;0;1
6718;3;0;0
5775;1;0;0
8257;4;0;0
8632;3;0;0
5734;3;0;0
7827;4;0;0
600;3;0;0
5246;4;0;0
9390;4;0;0
4201;1;0;0
5936;4;0;0
3461;4;0;0
1931;3;0;0
8132;5;0;0
1837;2;0;0
6437;4;0;0
3460;2;0;0
2603;2;0;1
9628;5;0;0
3599;3;0;0
4381;1;0;0
10415;3;0;0
8792;2;0;0
47;3;0;0
6972;2;0;0
9650;4;0;0
7977;4;0;0
2641;4;0;0
1666;4;0;0
2875;4;0;0
7415;4;0;0
3532;4;0;0
3109;2;0;0
4874;1;0;0
9621;0;0;0
5754;2;0;0
9709;3;0;0
6039;4;0;0
7798;4;0;0
2244;4;0;0
2069;4;0;2
8083;1;0;0
2492;2;0;0
1643;2;0;0
8462;3;0;1
785;2;0;0
5315;3;0;0
5589;4;0;0
6613;2;0;0
9161;3;0;0
6124;4;0;0
2270;4;0;0
2778;3;0;0
5288;4;0;0
3162;3;0;0
4313;2;0;0
9346;2;0;0
4912;4;0;0
4338;2;0;0
3984;2;0;1
6236;4;0;0
9611;3;0;0
7943;2;0;0
3971;2;0;0
3806;1;0;0
9010;2;0;0
9370;4;0;0
609;3;0;0
5240;3;0;0
2690;3;0;0
4485;4;0;0
358;4;0;0
6847;4;0;0
6083;4;0;0
9291;1;0;0
2630;4;0;0
3578;2;0;0
1495;3;0;0
23;5;0;0
3173;2;0;0
5055;3;0;0
5294;5;0;0
404;4;0;0
5440;3;0;0
2893;2;0;0
8983;3;0;0
5732;4;0;0
10123;4;0;0
3857;3;0;0
6833;4;0;0
8813;4;0;0
9580;3;0;0
9438;5;0;0
6590;4;0;0
6394;3;0;0
10452;2;0;0
6698;4;0;0
5495;5;0;0
5484;4;0;0
1812;3;0;0
7484;4;0;0
9584;4;0;0
4715;2;0;0
6194;5;0;0
1832;4;0;0
5220;5;0;0
2102;3;0;0
5717;3;0;0
5079;4;0;1
10165;3;0;0
5983;4;0;0
4809;3;0;0
818;2;0;0
3490;3;0;0
6610;4;0;1
3105;3;0;0
5488;4;0;0
6406;4;0;0
5064;4;0;0
8740;4;0;0
7586;3;0;1
4362;2;0;0
7986;4;0;0
5192;3;0;0
3474;4;0;0
9234;2;0;0
1977;4;0;0
788;2;0;0
309;1;0;0
2487;3;0;0
3621;3;0;0
9259;4;0;0
10342;2;0;0
2569;3;0;0
7711;3;0;0
1962;4;0;0
10277;0;0;0
586;3;0;0
314;4;0;0
9442;4;0;0
8119;3;0;0
6873;4;0;0
190;4;0;0
290;1;0;0
1664;4;0;0
6863;3;0;0
1602;1;0;0
338;2;0;0
2400;5;0;1
7253;4;0;0
2962;4;0;0
268;2;0;0
8327;3;0;0
9126;3;0;0
1987;3;0;0
50;3;0;0
4923;2;0;0
8350;4;0;0
2671;5;0;0
5162;2;0;0
10431;3;0;0
9557;3;0;0
6145;4;0;0
8049;1;0;0
6818;2;0;0
9129;2;0;1
271;4;0;0
4524;3;0;0
8272;3;0;0
8479;3;0;0
9912;3;0;0
6884;5;0;0
2755;2;0;0
2027;2;0;0
7769;4;0;0
3332;3;0;0
6940;3;0;0
6579;4;0;0
8492;4;0;2
7873;3;0;0
10250;4;0;0
470;4;0;0
8031;1;0;0
7789;2;0;0
1062;4;0;0
9622;3;0;0
3247;5;0;0
707;3;0;0
7675;3;0;0
994;2;0;0
5076;3;0;1
5865;4;0;0
8256;2;0;0
3824;4;0;0
2936;4;0;0
341;2;0;0
3884;4;0;0
7683;2;0;0
9271;1;0;0
9006;3;0;0
399;3;0;0
433;4;0;0
5758;1;0;0
4788;3;0;0
4211;3;0;0
5080;3;0;0
5130;5;0;0
2036;2;0;0
2222;3;0;0
7096;4;0;0
6712;4;0;0
7791;3;0;0
10317;4;0;0
2042;1;0;0
5985;4;0;0
6188;3;0;0
297;3;0;0
2782;4;0;0
8738;4;0;0
7455;2;0;0
6147;3;0;0
5370;2;0;0
7316;3;0;0
3368;3;0;0
8529;4;0;1
4421;4;0;0
3862;4;0;0
3504;3;0;0
6526;1;0;0
7580;4;0;0
2150;3;0;0
8009;1;0;0
6978;3;0;0
1749;4;0;0
5092;3;0;0
6369;4;0;0
10069;3;0;0
5059;4;0;0
5849;4;0;0
3445;3;0;1
5208;3;0;0
1788;4;0;0
5270;2;0;0
9607;3;0;0
6413;2;0;0
2680;2;0;0
4196;3;0;0
5054;2;0;0
536;4;0;0
10225;4;0;0
7955;2;0;0
2764;2;0;0
3537;4;0;0
3480;4;0;0
4831;4;0;0
1865;4;0;0
10419;4;0;0
497;4;0;0
6701;4;0;0
8276;5;0;0
8567;3;0;0
9223;2;0;0
7216;3;0;0
4570;4;0;0
7828;5;0;0
2145;2;0;0
8810;3;0;0
4157;3;0;0
2296;3;0;0
8788;4;0;0
8775;3;0;0
3239;3;0;0
2724;2;0;0
9060;4;0;0
10410;3;0;0
9314;2;0;0
2025;1;0;0
5355;5;0;0
4363;4;0;0
4821;4;0;0
10304;4;0;0
6229;3;0;0
