;NumFeatures;HasExternalRiskEstimate;SpecialValues
3678;4;1;0
36;4;1;0
2933;3;1;0
6718;3;1;1
5775;3;1;0
8257;4;1;0
8632;3;1;0
5734;4;1;0
7827;3;1;0
600;3;1;1
5246;3;1;0
9390;4;1;1
4201;3;1;0
5936;3;1;1
3461;4;1;0
1931;4;1;0
8132;3;1;0
1837;3;1;0
6437;3;1;0
3460;3;1;0
2603;4;1;1
9628;4;1;0
3599;3;1;0
4381;3;1;0
10415;3;1;0
8792;3;1;0
47;3;1;0
6972;3;1;0
9650;3;1;0
7977;3;1;0
2641;3;1;1
1666;3;1;0
2875;3;1;0
7415;3;1;0
3532;2;1;0
3109;3;1;0
4874;3;1;0
9621;3;1;0
5754;4;1;0
9709;3;1;0
6039;3;1;0
7798;3;1;0
2244;4;1;1
2069;3;1;0
8083;3;1;0
2492;4;1;1
1643;4;1;0
8462;4;1;2
785;3;1;0
5315;4;1;0
5589;4;1;0
6613;3;1;0
9161;3;1;0
6124;4;1;0
2270;4;1;1
2778;3;1;1
5288;4;1;0
3162;3;1;0
4313;4;1;0
9346;3;1;0
4912;3;1;1
4338;3;1;0
3984;3;1;0
6236;3;1;0
9611;3;1;0
7943;3;1;0
3971;3;1;0
3806;3;1;0
9010;3;1;0
9370;3;1;0
609;3;1;1
5240;3;1;0
2690;3;1;1
4485;3;1;1
358;3;1;0
6847;2;1;0
6083;3;1;0
9291;3;1;0
2630;3;1;0
3578;2;1;0
1495;3;1;0
23;3;1;0
3173;4;1;0
5055;4;1;0
5294;4;1;0
404;3;1;0
5440;3;1;0
2893;3;1;0
8983;4;1;0
5732;3;1;0
10123;2;1;0
3857;2;1;0
6833;3;1;0
8813;3;1;0
9580;3;1;1
9438;3;1;0
6590;3;1;0
6394;3;1;0
10452;3;1;0
6698;4;1;1
5495;4;1;0
5484;3;1;0
1812;3;1;0
7484;4;1;0
9584;4;1;1
4715;3;1;0
6194;3;1;0
1832;3;1;0
5220;3;1;0
2102;4;1;0
5717;4;1;0
5079;4;1;1
10165;3;1;0
5983;3;1;0
4809;3;1;0
818;3;1;0
3490;2;1;0
6610;4;1;1
3105;3;1;0
5488;3;1;0
6406;3;1;0
5064;4;1;0
8740;3;1;0
7586;3;1;1
4362;3;1;0
7986;3;1;0
5192;3;1;0
3474;2;1;1
9234;3;1;0
1977;3;1;0
788;3;1;0
309;2;1;0
2487;2;1;0
3621;3;1;0
9259;3;1;0
10342;3;1;0
2569;4;1;1
7711;3;1;0
1962;3;1;0
10277;3;1;0
586;3;1;0
314;3;1;0
9442;3;1;0
8119;3;1;0
6873;3;1;0
190;3;1;0
290;4;1;0
1664;3;1;0
6863;3;1;0
1602;4;1;0
338;3;1;0
2400;3;1;1
7253;3;1;0
2962;3;1;0
268;4;1;0
8327;4;1;0
9126;4;1;1
1987;3;1;0
50;4;1;0
4923;3;1;0
8350;3;1;0
2671;3;1;1
5162;3;1;1
10431;3;1;0
9557;4;1;1
6145;4;1;0
8049;3;1;0
6818;3;1;0
9129;3;1;1
271;4;1;0
4524;3;1;0
8272;3;1;1
8479;3;1;0
9912;3;1;0
6884;3;1;0
2755;3;1;0
2027;3;1;0
7769;3;1;0
3332;3;1;0
6940;2;1;0
6579;3;1;0
8492;3;1;1
7873;3;1;0
10250;3;1;0
470;4;1;0
8031;2;1;0
7789;3;1;0
1062;3;1;0
9622;3;1;0
3247;3;1;0
707;3;1;0
7675;3;1;1
994;3;1;0
5076;4;1;1
5865;3;1;0
8256;4;1;0
3824;3;1;0
2936;3;1;0
341;3;1;0
3884;4;1;0
7683;3;1;0
9271;3;1;0
9006;3;1;0
399;4;1;0
433;3;1;0
5758;3;1;0
4788;4;1;1
4211;4;1;0
5080;3;1;1
5130;3;1;0
2036;3;1;0
2222;3;1;0
7096;3;1;0
6712;4;1;1
7791;3;1;0
10317;4;1;0
2042;3;1;0
5985;4;1;0
6188;3;1;0
297;3;1;0
2782;4;1;1
8738;3;1;0
7455;3;1;0
6147;3;1;0
5370;4;1;1
7316;3;1;0
3368;3;1;0
8529;3;1;0
4421;4;1;0
3862;3;1;0
3504;3;1;0
6526;4;1;0
7580;2;1;1
2150;3;1;0
8009;3;1;0
6978;3;1;0
1749;3;1;0
5092;3;1;0
6369;3;1;0
10069;3;1;1
5059;4;1;0
5849;3;1;0
3445;3;1;0
5208;3;1;0
1788;4;1;0
5270;3;1;0
9607;3;1;0
6413;3;1;0
2680;3;1;1
4196;4;1;0
5054;3;1;0
536;3;1;1
10225;3;1;0
7955;4;1;0
2764;3;1;0
3537;3;1;0
3480;4;1;0
4831;4;1;0
1865;3;1;0
10419;3;1;0
497;4;1;1
6701;3;1;1
8276;3;1;1
8567;3;1;0
9223;3;1;0
7216;3;1;0
4570;4;1;1
7828;4;1;0
2145;4;1;0
8810;3;1;0
4157;4;1;0
2296;3;1;0
8788;3;1;0
8775;4;1;1
3239;3;1;0
2724;4;1;1
9060;4;1;0
10410;3;1;0
9314;3;1;0
2025;3;1;0
5355;4;1;1
4363;3;1;0
4821;4;1;0
10304;3;1;0
6229;3;1;0
8357;3;1;0
5207;3;1;0
647;4;1;0
4375;3;1;0
3969;3;1;0
5228;4;1;0
2160;4;1;0
2943;4;1;0
8097;4;1;0
7754;3;1;0
692;3;1;0
7299;3;1;0
8284;4;1;1
3570;4;1;1
605;3;1;0
9744;3;1;0
5266;3;1;0
9522;3;1;0
1920;3;1;0
2529;3;1;1
3724;2;1;0
81;3;1;0
9089;4;1;1
8332;3;1;0
8140;3;1;0
10055;4;1;1
5966;3;1;0
615;4;1;1
8535;3;1;0
4402;3;1;0
3827;3;1;0
5412;3;1;0
729;3;1;0
2132;3;1;0
2674;3;1;1
5899;3;1;1
2045;3;1;0
9839;3;1;0
4577;3;1;1
2320;3;1;0
8391;3;1;0
9068;3;1;0
2184;3;1;0
8348;4;1;0
940;4;1;0
4282;3;1;0
7702;3;1;0
2826;3;1;0
2577;3;1;0
7646;3;1;1
6439;3;1;0
2214;4;1;0
9367;3;1;0
6058;3;1;0
6324;4;1;0
5684;2;1;0
5980;3;1;0
617;3;1;1
8267;3;1;1
2194;2;1;0
8584;3;1;0
9651;3;1;0
4965;3;1;0
6117;4;1;0
2665;2;1;0
4431;3;1;0
4793;3;1;0
10316;3;1;0
10;2;1;0
10192;3;1;0
7979;3;1;0
6205;3;1;0
8259;3;1;1
99;3;1;1
1737;4;1;0
2894;3;1;0
7373;3;1;0
2534;3;1;1
6926;3;1;0
8324;3;1;0
9077;3;1;1
10019;4;1;1
5452;3;1;0
315;4;1;0
8197;3;1;0
2518;4;1;1
4789;3;1;0
8057;3;1;0
5919;3;1;1
7187;4;1;0
2565;3;1;1
7835;3;1;0
3309;3;1;0
1497;4;1;0
10414;2;1;0
1594;4;1;0
9404;4;1;1
9617;3;1;0
2334;3;1;1
9042;3;1;0
8268;4;1;1
4682;3;1;0
1530;4;1;0
2299;3;1;1
4866;3;1;0
7912;3;1;0
